Date : 2021-08-25 18:11:26
Directory : c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0
Total : 1077 files,  76948 codes, 17749 comments, 11184 blanks, all 105881 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        897 |     61,811 |     17,647 |      8,423 |     87,881 |
| Markdown         |         99 |      6,824 |         84 |      2,257 |      9,165 |
| YAML             |         63 |      6,141 |          0 |        442 |      6,583 |
| Jupyter          |          2 |      1,756 |          0 |          2 |      1,758 |
| Shell Script     |          8 |        304 |          6 |         21 |        331 |
| Docker           |          2 |         49 |          5 |         19 |         73 |
| Batch            |          1 |         27 |          0 |          9 |         36 |
| Properties       |          2 |         17 |          0 |          3 |         20 |
| Makefile         |          1 |          9 |          7 |          5 |         21 |
| Ini              |          1 |          6 |          0 |          2 |          8 |
| pip requirements |          1 |          4 |          0 |          1 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |      1,077 |     76,948 |     17,749 |     11,184 |    105,881 |
| configs                                                                                                                                                       |        631 |     21,518 |        526 |      1,791 |     23,835 |
| configs-mine                                                                                                                                                  |          2 |        367 |         21 |         13 |        401 |
| configs\_base_                                                                                                                                                |         26 |      1,714 |         45 |         27 |      1,786 |
| configs\_base_\datasets                                                                                                                                       |         10 |        473 |         10 |         10 |        493 |
| configs\_base_\models                                                                                                                                         |         12 |      1,202 |         26 |         12 |      1,240 |
| configs\_base_\schedules                                                                                                                                      |          3 |         27 |          6 |          3 |         36 |
| configs\albu_example                                                                                                                                          |          2 |         87 |          1 |          6 |         94 |
| configs\atss                                                                                                                                                  |          4 |        121 |          3 |         11 |        135 |
| configs\autoassign                                                                                                                                            |          3 |        124 |          5 |         11 |        140 |
| configs\carafe                                                                                                                                                |          3 |        132 |          1 |         12 |        145 |
| configs\cascade_rcnn                                                                                                                                          |         22 |        564 |          3 |         56 |        623 |
| configs\cascade_rpn                                                                                                                                           |          4 |        262 |          3 |         12 |        277 |
| configs\centernet                                                                                                                                             |          4 |        159 |          9 |         20 |        188 |
| configs\centripetalnet                                                                                                                                        |          3 |        144 |          6 |         12 |        162 |
| configs\cityscapes                                                                                                                                            |          3 |         99 |         11 |         11 |        121 |
| configs\common                                                                                                                                                |          3 |        199 |         21 |         15 |        235 |
| configs\cornernet                                                                                                                                             |          5 |        377 |         16 |         18 |        411 |
| configs\dcn                                                                                                                                                   |         17 |        371 |          2 |         41 |        414 |
| configs\deepfashion                                                                                                                                           |          2 |         56 |          2 |         10 |         68 |
| configs\deformable_detr                                                                                                                                       |          5 |        236 |         11 |         16 |        263 |
| configs\detectors                                                                                                                                             |          9 |        301 |          1 |         35 |        337 |
| configs\detr                                                                                                                                                  |          3 |        189 |          9 |         10 |        208 |
| configs\double_heads                                                                                                                                          |          3 |         68 |          1 |          9 |         78 |
| configs\dynamic_rcnn                                                                                                                                          |          3 |         71 |          1 |          9 |         81 |
| configs\empirical_attention                                                                                                                                   |          6 |        145 |          1 |         15 |        161 |
| configs\fast_rcnn                                                                                                                                             |          7 |        116 |          3 |         14 |        133 |
| configs\faster_rcnn                                                                                                                                           |         33 |        845 |         18 |         85 |        948 |
| configs\fcos                                                                                                                                                  |         11 |        472 |         14 |         33 |        519 |
| configs\foveabox                                                                                                                                              |         10 |        270 |          9 |         28 |        307 |
| configs\fp16                                                                                                                                                  |          7 |         89 |          4 |         17 |        110 |
| configs\fpg                                                                                                                                                   |         10 |        418 |          6 |         29 |        453 |
| configs\free_anchor                                                                                                                                           |          5 |        108 |          1 |         15 |        124 |
| configs\fsaf                                                                                                                                                  |          5 |        145 |          6 |         19 |        170 |
| configs\gcnet                                                                                                                                                 |         21 |        539 |          1 |         53 |        593 |
| configs\gfl                                                                                                                                                   |          8 |        244 |          5 |         21 |        270 |
| configs\ghm                                                                                                                                                   |          6 |        132 |          1 |         15 |        148 |
| configs\gn                                                                                                                                                    |          8 |        206 |          6 |         24 |        236 |
| configs\gn+ws                                                                                                                                                 |         14 |        342 |          8 |         36 |        386 |
| configs\grid_rcnn                                                                                                                                             |          7 |        265 |          9 |         20 |        294 |
| configs\groie                                                                                                                                                 |          7 |        330 |          6 |         29 |        365 |
| configs\guided_anchoring                                                                                                                                      |         19 |        827 |         18 |         39 |        884 |
| configs\hrnet                                                                                                                                                 |         32 |        924 |         19 |         80 |      1,023 |
| configs\htc                                                                                                                                                   |          9 |        531 |          9 |         28 |        568 |
| configs\instaboost                                                                                                                                            |          8 |        192 |          3 |         26 |        221 |
| configs\ld                                                                                                                                                    |          6 |        225 |          3 |         19 |        247 |
| configs\legacy_1.x                                                                                                                                            |          7 |        310 |          7 |         26 |        343 |
| configs\libra_rcnn                                                                                                                                            |          7 |        212 |          7 |         18 |        237 |
| configs\lvis                                                                                                                                                  |          9 |        148 |          3 |         20 |        171 |
| configs\mask_rcnn                                                                                                                                             |         27 |        975 |         13 |         67 |      1,055 |
| configs\ms_rcnn                                                                                                                                               |         10 |        218 |          6 |         22 |        246 |
| configs\nas_fcos                                                                                                                                              |          4 |        237 |          1 |         25 |        263 |
| configs\nas_fpn                                                                                                                                               |          4 |        206 |         12 |         13 |        231 |
| configs\paa                                                                                                                                                   |          9 |        220 |          3 |         23 |        246 |
| configs\pafpn                                                                                                                                                 |          3 |         52 |          1 |         11 |         64 |
| configs\pascal_voc                                                                                                                                            |          6 |        223 |         18 |         13 |        254 |
| configs\pisa                                                                                                                                                  |         10 |        270 |          1 |         34 |        305 |
| configs\point_rend                                                                                                                                            |          4 |        108 |          4 |         12 |        124 |
| configs\regnet                                                                                                                                                |         23 |        935 |          6 |         82 |      1,023 |
| configs\reppoints                                                                                                                                             |         12 |        273 |          3 |         34 |        310 |
| configs\res2net                                                                                                                                               |          7 |        150 |          2 |         32 |        184 |
| configs\resnest                                                                                                                                               |         10 |        527 |          4 |         30 |        561 |
| configs\retinanet                                                                                                                                             |         15 |        312 |          7 |         30 |        349 |
| configs\rpn                                                                                                                                                   |         12 |        177 |          4 |         18 |        199 |
| configs\sabl                                                                                                                                                  |         12 |        727 |         21 |         30 |        778 |
| configs\scnet                                                                                                                                                 |          7 |        255 |         25 |         24 |        304 |
| configs\scratch                                                                                                                                               |          4 |         99 |          5 |         13 |        117 |
| configs\seesaw_loss                                                                                                                                           |         13 |        392 |          5 |         25 |        422 |
| configs\selfsup_pretrain                                                                                                                                      |          5 |        145 |          1 |         40 |        186 |
| configs\sparse_rcnn                                                                                                                                           |          7 |        256 |          5 |         25 |        286 |
| configs\ssd                                                                                                                                                   |          4 |        181 |          5 |         11 |        197 |
| configs\tridentnet                                                                                                                                            |          5 |        138 |          3 |         21 |        162 |
| configs\vfnet                                                                                                                                                 |         15 |        392 |          7 |         35 |        434 |
| configs\wider_face                                                                                                                                            |          2 |         51 |          4 |          8 |         63 |
| configs\yolact                                                                                                                                                |          5 |        250 |         21 |         29 |        300 |
| configs\yolo                                                                                                                                                  |          6 |        292 |         10 |         20 |        322 |
| configs\yolof                                                                                                                                                 |          4 |        148 |         11 |         14 |        173 |
| demo                                                                                                                                                          |          6 |      1,981 |         30 |         68 |      2,079 |
| docs                                                                                                                                                          |         25 |      4,499 |         54 |      1,438 |      5,991 |
| docs\tutorials                                                                                                                                                |          9 |      1,924 |          4 |        532 |      2,460 |
| mmdet                                                                                                                                                         |        275 |     33,331 |     15,809 |      5,186 |     54,326 |
| mmdet\apis                                                                                                                                                    |          4 |        413 |        131 |         70 |        614 |
| mmdet\core                                                                                                                                                    |         68 |      5,041 |      3,275 |        977 |      9,293 |
| mmdet\core\anchor                                                                                                                                             |          5 |        463 |        321 |         74 |        858 |
| mmdet\core\bbox                                                                                                                                               |         40 |      2,508 |      1,871 |        525 |      4,904 |
| mmdet\core\bbox\assigners                                                                                                                                     |         12 |        987 |        721 |        192 |      1,900 |
| mmdet\core\bbox\coder                                                                                                                                         |          8 |        569 |        493 |        124 |      1,186 |
| mmdet\core\bbox\iou_calculators                                                                                                                               |          3 |         98 |        144 |         33 |        275 |
| mmdet\core\bbox\match_costs                                                                                                                                   |          3 |         60 |        118 |         24 |        202 |
| mmdet\core\bbox\samplers                                                                                                                                      |         10 |        615 |        281 |        107 |      1,003 |
